doc_name,doc_source,doc_type,page_num,chunk_id,chunk_text,created_at
2025ccfsrumkcpolice.pdf,data/2025ccfsrumkcpolice.pdf,pdf,1,1,"1     
UNIVERSITY OF MISSOURI –  KANSAS CITY 
 JEANNE CLERY ACT REPORT Annual Campus Security and Fire Safety Report for   2024 Reported September 2025      In accordance with the Jeanne Clery Disclosure of Campus Security  Policy and Campus Crime Statistics Act of 1998 and the  Higher Education Opportunities Act of 2008",2026-02-22T23:29:19.229944
2025ccfsrumkcpolice.pdf,data/2025ccfsrumkcpolice.pdf,pdf,2,1,"2      
MESSAGE FROM THE CHIEF OF POLICE   Welcome to the University of Missouri-Kansas City:    The University of Missouri-Kansas City is committed to providing the members of the campus community and visitors with the safest and most secure environment possible.  At this time, I would like to request your assistance in making the campus a safer and more secure learning environment by contacting the UMKC Police Department if you witness a crime or suspicious activity on campus.    Each year, in compliance with the Jeanne Clery Disclosure of Campus Security Policy and Campus Crime  Statistics Act, the UMKC Police Department makes available the Annual Campus Crime and Fire Safety Report.  This report is published to inform the faculty, staff, students, and citizens of our crime statistics, policies, procedures, and general safety on the University of Missouri-Kansas City campuses.    Additional copies of this report may be obtained by contacting our office at (816) 235-1515, by stopping by our Communications Office in the Police Department at 5005 Oak St. KCMO, or you may access this report at:  www.umkc.edu/safetyreport     All of the police officers employed by UMKC are certified ",2026-02-22T23:29:19.230525
2025ccfsrumkcpolice.pdf,data/2025ccfsrumkcpolice.pdf,pdf,2,2," by our Communications Office in the Police Department at 5005 Oak St. KCMO, or you may access this report at:  www.umkc.edu/safetyreport     All of the police officers employed by UMKC are certified State Peace Officers and have the jurisdictional responsibilities for all crimes and incidents that occur on our campus.     As the Chief of Police for the University of Missouri-Kansas City, I look forward to working with our community to address the challenges associated with the academic community.  I can assure you that all members of UMKC Police Department are committed to being partners with our community and providing excellent service.      Sincerely,     Michael Bongartz    Michael Bongartz  Chief of Police              About this Report",2026-02-22T23:29:19.230527
2025ccfsrumkcpolice.pdf,data/2025ccfsrumkcpolice.pdf,pdf,3,1,"3      
In 1990, the federal “Crime Awareness and Campus Security Act” was enacted requiring universities and colleges to:    • Publish and distribute an annual campus security report that contains the most recent calendar year and the two preceding calendar years of campus crime statistics, policy statements and program descriptions, and procedures to be followed in sex offenses.  • Inform prospective students and employees about the report.  • Provide timely notice to the campus on crimes that are considered threats to safety.    The Jeanne Clery Disclosure of Campus Security Policy and Campus Crime Statistics Act required all postsecondary institutions participating in Title IV student financial aid programs to disclose campus crime statistics and security information. The act was amended in 1992, 1998, 2000, 2008, and 2013. The 1998 amendment renamed the law the Jeanne Clery Disclosure of Campus Security Policy and Campus Crime   Statistics Act in memory of a student who was slain in her dorm room in 1986.        This report describes security practices and procedures at the University of Missouri-Kansas City and lists crime statistics for the most recent calendar year and the ",2026-02-22T23:29:19.230535
2025ccfsrumkcpolice.pdf,data/2025ccfsrumkcpolice.pdf,pdf,3,2,"in her dorm room in 1986.        This report describes security practices and procedures at the University of Missouri-Kansas City and lists crime statistics for the most recent calendar year and the required two preceding calendar years. Each year the University disseminates information on the status of campus security to all current students and employees.  Upon request, the report is available to persons who request a copy.    The Clery Act requires higher education institutions to give timely warnings of crimes that represent a threat to the safety of students or employees, and to make public their campus security policies. It also requires that crime data be collected, reported, and disseminated to the campus community and are also submitted to the Department of Education. The act is intended to provide students and their families, as higher education consumers, with accurate, complete, and timely information about safety on campus so that they can make informed decisions.    The Campus Crime & Fire Safety Report lists yearly statistics for the crimes of murder, sexual offenses, robbery, aggravated assault, burglary, arson, motor vehicle thefts, domestic violence, dating viole",2026-02-22T23:29:19.230536
2025ccfsrumkcpolice.pdf,data/2025ccfsrumkcpolice.pdf,pdf,3,3,"Campus Crime & Fire Safety Report lists yearly statistics for the crimes of murder, sexual offenses, robbery, aggravated assault, burglary, arson, motor vehicle thefts, domestic violence, dating violence, stalking and “hate crime” offenses, as well as statistics for arrests and disciplinary referrals for alcohol, drug, and weapon violations.    The administrative division of the UMKC Police Department has prepared this report using internal crime reports and other statistical data and information.  In addition, data and information is supplied by the UMKC Division of Student Affairs, Deans, Directors, Department Heads and the Kansas City, Missouri Police Department.  Crime statistics are also gathered from multiple Campus Security Authorities. Please take some time to review the information contained in the report and if you have questions, please do not hesitate to contact the UMKC Police at 816-235-1515.",2026-02-22T23:29:19.230537
2025ccfsrumkcpolice.pdf,data/2025ccfsrumkcpolice.pdf,pdf,4,1,"4      
   Table	of	Contents	 Message from the Chief                           2 The University of Missouri Kansas City                     7 UMKC Police Department                                                                                        8 Mission and Purpose                                                                                                8 Values and Guiding Principles                                                                                8                                                                University Police: Your Community Policing Agency                                          8                                                                 Relationships with Other Law Enforcement Agencies         11                                                                                               Safety on Campus 13  Emergency Response and Evacuation Procedures                                                                                                                    14 Timely Warning Policy  15  Emergency Notification  16  Emergency Notification Annual Testing  17  Daily Crime Log  17  Policy on Crime and Incident Reporting  ",2026-02-22T23:29:19.230540
2025ccfsrumkcpolice.pdf,data/2025ccfsrumkcpolice.pdf,pdf,4,2,                                      14 Timely Warning Policy  15  Emergency Notification  16  Emergency Notification Annual Testing  17  Daily Crime Log  17  Policy on Crime and Incident Reporting  18  Confidential Reporting Procedures  20  Crime Prevention  20   Your Role in Preventing Crime  21          Prevention Tips  21           Crime Prevention Presentations and Training  21  Sexual Assault Policy Statement  22     Registered Sex Offender Information  25          Sexual Harassment Policy  25  Alcohol and Drugs  27   Alcohol Policy  27   Drug Policy  28             Alcohol or Substance Abuse Assistance and Programs  28  Missing Students in On-Campus Housing  29  Campus Facilities Access  30,2026-02-22T23:29:19.230541
2025ccfsrumkcpolice.pdf,data/2025ccfsrumkcpolice.pdf,pdf,5,1,"5      
 Maintenance of Campus Facilities  31 Definitions  32                                        Education and Prevention Programs  40                                 Procedures for Reporting a Complaint  45                                  Resolution of Complaints  52                                    Assistance for Victims: Rights & Options  77                              Protective orders  79 Resources for victims of Domestic Violence, Dating Violence, Sexual Assault & Stalking (On-Campus)  82  Bystander Intervention  84  Risk Reduction  85  UMKC Campus and Emergency Telephone Locations  87  Important UMKC Phone Numbers  89  Victim's Rights  89  UMKC Alert – Emergency Notification  89  Annual Crime Statistics  90  Hate Crimes  90 2024 Volker Campus Crime Statistics  92 2023 Volker Campus Crime Statistics 93 2022 Volker Campus Crime Statistics  94 2024 Health Science Campus Crime Statistics 95 2023 Health Science Campus Crime Statistics 96 2022 Health Science Campus Crime Statistics  97 2024 Springfield Campus Crime Statistics                                                             98  2023 Springfield Campus Crime Statistics                                             ",2026-02-22T23:29:19.230545
2025ccfsrumkcpolice.pdf,data/2025ccfsrumkcpolice.pdf,pdf,5,2,stics  97 2024 Springfield Campus Crime Statistics                                                             98  2023 Springfield Campus Crime Statistics                                                             99    2022 Springfield Campus Crime Statistics                                                             100                                              2024 Columbia Campus Crime Statistics 101 2023 Columbia Campus Crime Statistics 102 2022 Columbia Campus Crime Statistics 103 2024 St. Joseph Campus Crime Statistics 104 2023 St. Joseph Campus Crime Statistics 105 2022 St. Joseph Campus Crime Statistics 106 Crime Definitions  107,2026-02-22T23:29:19.230546
